Data,Estado,Casos
25/09/20,AMAZONAS,916
26/09/20,AMAZONAS,964
27/09/20,AMAZONAS,247
28/09/20,AMAZONAS,292
29/09/20,AMAZONAS,1256
30/09/20,AMAZONAS,1362
01/10/20,AMAZONAS,914
02/10/20,AMAZONAS,959
03/10/20,AMAZONAS,938
04/10/20,AMAZONAS,245
05/10/20,AMAZONAS,191
06/10/20,AMAZONAS,998
07/10/20,AMAZONAS,921
08/10/20,AMAZONAS,875
09/10/20,AMAZONAS,866
10/10/20,AMAZONAS,805
11/10/20,AMAZONAS,239
12/10/20,AMAZONAS,188
13/10/20,AMAZONAS,399
14/10/20,AMAZONAS,654
15/10/20,AMAZONAS,848
16/10/20,AMAZONAS,418
17/10/20,AMAZONAS,1402
18/10/20,AMAZONAS,411
19/10/20,AMAZONAS,261
20/10/20,AMAZONAS,938
21/10/20,AMAZONAS,1669
22/10/20,AMAZONAS,765
23/10/20,AMAZONAS,966
24/10/20,AMAZONAS,779
25/10/20,AMAZONAS,349
26/10/20,AMAZONAS,344
27/10/20,AMAZONAS,1050
28/10/20,AMAZONAS,865
29/10/20,AMAZONAS,1013
30/10/20,AMAZONAS,838
31/10/20,AMAZONAS,249
01/11/20,AMAZONAS,291
02/11/20,AMAZONAS,165
03/11/20,AMAZONAS,421
04/11/20,AMAZONAS,839
05/11/20,AMAZONAS,671
08/11/20,AMAZONAS,1594
09/11/20,AMAZONAS,305
10/11/20,AMAZONAS,802
11/11/20,AMAZONAS,715
12/11/20,AMAZONAS,603
13/11/20,AMAZONAS,507
14/11/20,AMAZONAS,569
15/11/20,AMAZONAS,168
16/11/20,AMAZONAS,219
17/11/20,AMAZONAS,906
18/11/20,AMAZONAS,703
19/11/20,AMAZONAS,957
20/11/20,AMAZONAS,740
21/11/20,AMAZONAS,488
22/11/20,AMAZONAS,131
23/11/20,AMAZONAS,303
24/11/20,AMAZONAS,799
25/11/20,AMAZONAS,719
26/11/20,AMAZONAS,916
27/11/20,AMAZONAS,928
28/11/20,AMAZONAS,658
29/11/20,AMAZONAS,191
30/11/20,AMAZONAS,209
01/12/20,AMAZONAS,1065
02/12/20,AMAZONAS,698
03/12/20,AMAZONAS,879
04/12/20,AMAZONAS,789
05/12/20,AMAZONAS,706
06/12/20,AMAZONAS,331
07/12/20,AMAZONAS,207
08/12/20,AMAZONAS,955
09/12/20,AMAZONAS,438
10/12/20,AMAZONAS,821
11/12/20,AMAZONAS,843
12/12/20,AMAZONAS,342
13/12/20,AMAZONAS,342
14/12/20,AMAZONAS,451
15/12/20,AMAZONAS,651
16/12/20,AMAZONAS,988
17/12/20,AMAZONAS,894
18/12/20,AMAZONAS,1156
19/12/20,AMAZONAS,706
20/12/20,AMAZONAS,302
21/12/20,AMAZONAS,351
22/12/20,AMAZONAS,1217
23/12/20,AMAZONAS,862
24/12/20,AMAZONAS,999
25/12/20,AMAZONAS,401
26/12/20,AMAZONAS,201
27/12/20,AMAZONAS,429
28/12/20,AMAZONAS,318
29/12/20,AMAZONAS,1447
30/12/20,AMAZONAS,1369
31/12/20,AMAZONAS,1443
01/01/21,AMAZONAS,561
02/01/21,AMAZONAS,293
03/01/21,AMAZONAS,546
04/01/21,AMAZONAS,559
05/01/21,AMAZONAS,1928
06/01/21,AMAZONAS,2192
07/01/21,AMAZONAS,1706
08/01/21,AMAZONAS,2342
09/01/21,AMAZONAS,1856
10/01/21,AMAZONAS,965
11/01/21,AMAZONAS,2151
12/01/21,AMAZONAS,1958
13/01/21,AMAZONAS,1474
14/01/21,AMAZONAS,3816
15/01/21,AMAZONAS,3151
16/01/21,AMAZONAS,2856
17/01/21,AMAZONAS,1277
18/01/21,AMAZONAS,1790
19/01/21,AMAZONAS,1537
20/01/21,AMAZONAS,5009
21/01/21,AMAZONAS,2202
22/01/21,AMAZONAS,3975
23/01/21,AMAZONAS,3404
24/01/21,AMAZONAS,1152
25/01/21,AMAZONAS,1222
26/01/21,AMAZONAS,3525
27/01/21,AMAZONAS,3146
28/01/21,AMAZONAS,1852
29/01/21,AMAZONAS,2116
30/01/21,AMAZONAS,4420
31/01/21,AMAZONAS,1400
01/02/21,AMAZONAS,1323
02/02/21,AMAZONAS,2460
03/02/21,AMAZONAS,2685
04/02/21,AMAZONAS,2689
05/02/21,AMAZONAS,2238
06/02/21,AMAZONAS,2965
07/02/21,AMAZONAS,985
08/02/21,AMAZONAS,919
09/02/21,AMAZONAS,1442
10/02/21,AMAZONAS,2744
11/02/21,AMAZONAS,2205
12/02/21,AMAZONAS,2445
13/02/21,AMAZONAS,1828
14/02/21,AMAZONAS,632
15/02/21,AMAZONAS,925
16/02/21,AMAZONAS,1808
17/02/21,AMAZONAS,1808
18/02/21,AMAZONAS,2141
19/02/21,AMAZONAS,1950
20/02/21,AMAZONAS,1664
21/02/21,AMAZONAS,753
22/02/21,AMAZONAS,1161
23/02/21,AMAZONAS,2147
24/02/21,AMAZONAS,1608
25/02/21,AMAZONAS,1420
26/02/21,AMAZONAS,1572
27/02/21,AMAZONAS,1688
28/02/21,AMAZONAS,489
01/03/21,AMAZONAS,580
02/03/21,AMAZONAS,1576
03/03/21,AMAZONAS,704
04/03/21,AMAZONAS,924
05/03/21,AMAZONAS,2355
06/03/21,AMAZONAS,1383
07/03/21,AMAZONAS,493
08/03/21,AMAZONAS,461
09/03/21,AMAZONAS,1610
10/03/21,AMAZONAS,1349
11/03/21,AMAZONAS,1240
12/03/21,AMAZONAS,1247
13/03/21,AMAZONAS,1162
14/03/21,AMAZONAS,596
15/03/21,AMAZONAS,541
16/03/21,AMAZONAS,1299
17/03/21,AMAZONAS,824
18/03/21,AMAZONAS,962
19/03/21,AMAZONAS,1957
