Data,Estado,Casos
24/07/22,AMAZONAS,207
25/07/22,AMAZONAS,319
26/07/22,AMAZONAS,796
27/07/22,AMAZONAS,637
28/07/22,AMAZONAS,752
29/07/22,AMAZONAS,683
30/07/22,AMAZONAS,434
31/07/22,AMAZONAS,161
01/08/22,AMAZONAS,185
02/08/22,AMAZONAS,490
03/08/22,AMAZONAS,497
04/08/22,AMAZONAS,526
05/08/22,AMAZONAS,566
06/08/22,AMAZONAS,343
07/08/22,AMAZONAS,238
08/08/22,AMAZONAS,166
09/08/22,AMAZONAS,484
10/08/22,AMAZONAS,350
11/08/22,AMAZONAS,473
12/08/22,AMAZONAS,344
13/08/22,AMAZONAS,319
14/08/22,AMAZONAS,83
15/08/22,AMAZONAS,150
16/08/22,AMAZONAS,265
17/08/22,AMAZONAS,310
18/08/22,AMAZONAS,362
19/08/22,AMAZONAS,201
20/08/22,AMAZONAS,185
21/08/22,AMAZONAS,140
22/08/22,AMAZONAS,108
23/08/22,AMAZONAS,160
24/08/22,AMAZONAS,134
25/08/22,AMAZONAS,150
26/08/22,AMAZONAS,129
27/08/22,AMAZONAS,43
28/08/22,AMAZONAS,102
29/08/22,AMAZONAS,141
30/08/22,AMAZONAS,166
31/08/22,AMAZONAS,149
01/09/22,AMAZONAS,145
02/09/22,AMAZONAS,117
03/09/22,AMAZONAS,120
04/09/22,AMAZONAS,106
05/09/22,AMAZONAS,121
06/09/22,AMAZONAS,111
07/09/22,AMAZONAS,106
08/09/22,AMAZONAS,105
09/09/22,AMAZONAS,116
10/09/22,AMAZONAS,114
11/09/22,AMAZONAS,71
12/09/22,AMAZONAS,96
13/09/22,AMAZONAS,148
14/09/22,AMAZONAS,124
15/09/22,AMAZONAS,103
16/09/22,AMAZONAS,110
17/09/22,AMAZONAS,107
18/09/22,AMAZONAS,101
19/09/22,AMAZONAS,36
20/09/22,AMAZONAS,72
21/09/22,AMAZONAS,53
22/09/22,AMAZONAS,88
23/09/22,AMAZONAS,63
24/09/22,AMAZONAS,62
25/09/22,AMAZONAS,34
26/09/22,AMAZONAS,35
27/09/22,AMAZONAS,37
28/09/22,AMAZONAS,40
29/09/22,AMAZONAS,33
30/09/22,AMAZONAS,28
01/10/22,AMAZONAS,21
02/10/22,AMAZONAS,19
03/10/22,AMAZONAS,32
04/10/22,AMAZONAS,40
05/10/22,AMAZONAS,33
06/10/22,AMAZONAS,36
07/10/22,AMAZONAS,39
08/10/22,AMAZONAS,32
09/10/22,AMAZONAS,21
10/10/22,AMAZONAS,24
11/10/22,AMAZONAS,40
12/10/22,AMAZONAS,38
13/10/22,AMAZONAS,26
14/10/22,AMAZONAS,42
15/10/22,AMAZONAS,41
16/10/22,AMAZONAS,33
17/10/22,AMAZONAS,28
18/10/22,AMAZONAS,140
19/10/22,AMAZONAS,187
20/10/22,AMAZONAS,181
21/10/22,AMAZONAS,198
22/10/22,AMAZONAS,222
23/10/22,AMAZONAS,81
24/10/22,AMAZONAS,53
25/10/22,AMAZONAS,90
26/10/22,AMAZONAS,121
27/10/22,AMAZONAS,247
28/10/22,AMAZONAS,278
29/10/22,AMAZONAS,277
30/10/22,AMAZONAS,40
31/10/22,AMAZONAS,49
01/11/22,AMAZONAS,270
02/11/22,AMAZONAS,228
03/11/22,AMAZONAS,88
04/11/22,AMAZONAS,136
05/11/22,AMAZONAS,124
06/11/22,AMAZONAS,56
07/11/22,AMAZONAS,110
08/11/22,AMAZONAS,218
09/11/22,AMAZONAS,210
10/11/22,AMAZONAS,224
11/11/22,AMAZONAS,238
12/11/22,AMAZONAS,202
13/11/22,AMAZONAS,57
14/11/22,AMAZONAS,60
15/11/22,AMAZONAS,118
16/11/22,AMAZONAS,154
17/11/22,AMAZONAS,243
18/11/22,AMAZONAS,274
19/11/22,AMAZONAS,159
20/11/22,AMAZONAS,58
21/11/22,AMAZONAS,74
22/11/22,AMAZONAS,276
23/11/22,AMAZONAS,213
24/11/22,AMAZONAS,141
25/11/22,AMAZONAS,112
26/11/22,AMAZONAS,165
27/11/22,AMAZONAS,22
28/11/22,AMAZONAS,121
29/11/22,AMAZONAS,143
30/11/22,AMAZONAS,120
01/12/22,AMAZONAS,89
02/12/22,AMAZONAS,119
03/12/22,AMAZONAS,24
04/12/22,AMAZONAS,18
05/12/22,AMAZONAS,41
06/12/22,AMAZONAS,67
07/12/22,AMAZONAS,91
08/12/22,AMAZONAS,67
09/12/22,AMAZONAS,35
10/12/22,AMAZONAS,22
11/12/22,AMAZONAS,13
12/12/22,AMAZONAS,37
13/12/22,AMAZONAS,89
14/12/22,AMAZONAS,29
15/12/22,AMAZONAS,67
16/12/22,AMAZONAS,65
17/12/22,AMAZONAS,37
18/12/22,AMAZONAS,12
19/12/22,AMAZONAS,12
20/12/22,AMAZONAS,44
21/12/22,AMAZONAS,22
22/12/22,AMAZONAS,63
23/12/22,AMAZONAS,33
24/12/22,AMAZONAS,16
25/12/22,AMAZONAS,7
26/12/22,AMAZONAS,20
27/12/22,AMAZONAS,24
28/12/22,AMAZONAS,28
29/12/22,AMAZONAS,20
30/12/22,AMAZONAS,23
31/12/22,AMAZONAS,21
01/01/23,AMAZONAS,5
02/01/23,AMAZONAS,12
03/01/23,AMAZONAS,16
04/01/23,AMAZONAS,33
05/01/23,AMAZONAS,27
06/01/23,AMAZONAS,16
07/01/23,AMAZONAS,13
08/01/23,AMAZONAS,5
09/01/23,AMAZONAS,5
10/01/23,AMAZONAS,12
11/01/23,AMAZONAS,30
12/01/23,AMAZONAS,23
13/01/23,AMAZONAS,28
14/01/23,AMAZONAS,14
15/01/23,AMAZONAS,2
16/01/23,AMAZONAS,21
17/01/23,AMAZONAS,22
18/01/23,AMAZONAS,33
19/01/23,AMAZONAS,27
20/01/23,AMAZONAS,31
21/01/23,AMAZONAS,11
22/01/23,AMAZONAS,3
23/01/23,AMAZONAS,19
24/01/23,AMAZONAS,25
25/01/23,AMAZONAS,3
26/01/23,AMAZONAS,30
27/01/23,AMAZONAS,12
28/01/23,AMAZONAS,4
29/01/23,AMAZONAS,14
30/01/23,AMAZONAS,7
31/01/23,AMAZONAS,14
01/02/23,AMAZONAS,16
02/02/23,AMAZONAS,30
03/02/23,AMAZONAS,20
04/02/23,AMAZONAS,27
05/02/23,AMAZONAS,16
06/02/23,AMAZONAS,22
07/02/23,AMAZONAS,62
08/02/23,AMAZONAS,68
09/02/23,AMAZONAS,104
10/02/23,AMAZONAS,133
11/02/23,AMAZONAS,194
12/02/23,AMAZONAS,87
13/02/23,AMAZONAS,78
14/02/23,AMAZONAS,292
15/02/23,AMAZONAS,211
16/02/23,AMAZONAS,333
17/02/23,AMAZONAS,413
18/02/23,AMAZONAS,423
19/02/23,AMAZONAS,213
